7:302,29,58,616,8,138,866,650,301,736
18:32,534,26299,17,1136,2429,902,1267,8,518
19:17,302,654,76,616,58,8,866,84,29
36:17,654,84,2162,616,58,8,29,70,354
37:17,8,616,103,15,542,654,65,61,787
41:17,302,616,654,58,101,138,542,564,76
42:17,302,58,518,654,84,76,564,650,1102
43:17,226,302,76,654,899,84,138,616,354
44:302,616,84,76,8,542,861,518,6,564
45:347,4858,76,885,226,8476,564,1344,302,17
46:302,616,58,8,1102,354,76,736,650,542
59:654,616,58,1102,29,354,76,138,650,301
60:302,58,29,616,84,76,1102,8,650,138
69:302,654,58,564,650,76,29,101,61,354
70:302,654,84,354,76,29,58,616,650,1102
94:17,616,654,302,58,564,32,84,364,1405
106:84,29,8,1102,518,736,101,6,15,70
115:58,8,29,518,354,138,289,301,15,861
116:76,17,226,70,986,719,698,564,262,508
142:58,84,8,29,1102,301,32,61,6,861
143:3231,483,394,37099,35048,22528,20440,20132,16595,16523
148:17,70,986,76,302,8,500,654,616,564
150:17,302,654,650,29,8,84,564,736,861
156:302,84,58,616,8,29,1102,354,301,76
161:84,616,29,76,138,650,301,101,289,866
171:302,84,650,354,76,1102,8,6,138,301
172:654,58,84,8,76,1102,542,861,518,354
174:19585,3233,4364,2233,373,245,1099,15861,12222,8
177:17,654,58,29,616,84,8,76,1102,650
196:616,29,354,650,76,736,289,101,542,866
202:302,58,8,354,518,1102,138,542,301,736
211:17,12160,1131,8,103,787,3704,564,947,327
217:17,654,518,616,302,8,84,58,245,15
220:10178,13192,1342,15660,2097,4032,4542,294,10611,1127
223:302,654,616,58,84,8,518,29,76,354
224:4797,601,4589,353,1951,584,17,8694,12993,245
225:302,654,616,84,58,76,8,29,1102,301
228:17,361,302,654,650,616,58,76,29,84
229:58,84,1102,518,736,866,15,101,6,285
231:302,654,58,616,76,84,8,29,354,1102
232:5844,10236,3505,736,190,17,302,654,76,616
238:441,17,1744,9055,3618,4421,13814,4513,2715,4444
241:58,616,84,29,650,1102,76,518,354,542
245:16786,262,81,8588,14059,2677,3939,650,10071,5767
249:17,302,654,84,76,29,616,58,8,301
250:302,654,616,58,84,8,29,564,518,542
253:189,1527,17,3107,3172,4825,8848,6434,76,508
257:17,84,1102,542,354,138,861,6,301,289
272:654,1102,29,58,354,8,616,866,650,138
273:17,302,654,76,650,736,101,138,354,301
288:17,616,58,84,29,76,650,1102,354,15
290:17,226,302,138,654,76,84,354,616,29
291:17,84,518,302,1102,616,654,58,354,101
292:654,58,616,76,138,301,542,289,866,564
294:17,302,8,1102,29,76,354,301,736,138
328:302,654,84,58,29,866,616,354,1102,301
331:17,302,654,616,58,84,6,8,650,542
345:805,385,16881,3250,11281,33223,5726,17,302,654
361:29,58,616,354,8,76,138,650,301,736
376:17,302,58,29,616,84,1102,650,354,76
384:17,616,654,302,8,542,650,76,84,518
401:616,58,1102,29,354,650,301,138,542,866
